City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kavieng,PG,80.76,moderate rain,-2.5744,150.7967,Nusa Island Retreat
1,Jalu,LY,89.11,clear sky,29.0331,21.5482,صاحبة الفخامة
2,Diu,IN,82.08,clear sky,20.7141,70.9822,Hotel Relax Inn
3,Arraial Do Cabo,BR,78.76,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
6,The Valley,AI,87.66,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
8,Komsomolskiy,UZ,79.52,overcast clouds,40.4272,71.7189,Ikathouse
9,Rikitea,PF,75.36,overcast clouds,-23.1203,-134.9692,Pension Maro'i
13,Kapaa,US,83.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
14,Conceicao Do Araguaia,BR,93.33,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
15,Sao Filipe,CV,74.26,broken clouds,14.8961,-24.4956,Hotel Xaguate
21,Mahebourg,MU,73.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
24,Vaini,TO,73.56,overcast clouds,-21.2,-175.2,Keleti Beach Resort
25,Cockburn Town,TC,84.16,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
27,Hithadhoo,MV,83.37,few clouds,-0.6,73.0833,Scoop Guest House
29,Hilo,US,81.81,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
30,Sao Gabriel Da Cachoeira,BR,87.6,few clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
37,Puerto Ayora,EC,84.16,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
38,Sibut,CF,79.05,overcast clouds,5.718,19.0739,
41,Marsa Matruh,EG,74.25,clear sky,31.3525,27.2453,Beau Site
44,Gazojak,TM,93.36,clear sky,41.1875,61.4036,In gowy adamlaryñ yaśayan oyi
46,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
48,Dicabisagan,PH,79.23,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
49,Rantoul,US,71.1,clear sky,40.3084,-88.1559,First Heritage Inn
51,Mabaruma,GY,77.45,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
52,Atuona,PF,79.61,clear sky,-9.8,-139.0333,Villa Enata
54,Waingapu,ID,75.76,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
55,Souillac,MU,73.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
59,Porto Nacional,BR,91.4,scattered clouds,-10.7081,-48.4172,Vila Real Hotel
60,Hambantota,LK,80.17,overcast clouds,6.1241,81.1185,Bungalow 63
61,Dingle,PH,78.26,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
66,Prado,BR,77.23,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
67,Bosaso,SO,87.46,clear sky,11.2842,49.1816,Red Sea Hotel
69,Sao Joao Da Barra,BR,80.69,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
77,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
79,Alugan,PH,77.95,overcast clouds,12.2188,125.4808,JM Lodge
81,Pierre,US,74.32,clear sky,44.3683,-100.351,Ramkota Hotel
83,Jiazi,CN,79.7,light rain,22.8779,116.067,Hotel Jin Hao
84,Saint-Philippe,RE,70.21,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
86,Faya,SA,71.71,few clouds,18.3851,42.4509,مقبرة ال مجمل
87,Lompoc,US,78.1,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
89,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
91,Velez-Malaga,ES,83.16,overcast clouds,36.7726,-4.1005,Hotel Torremar
97,Pauini,BR,89.87,light rain,-7.7136,-66.9764,Casa do Kiwliks
101,Nalut,LY,87.03,broken clouds,30.3333,10.85,
104,Hays,US,85.82,overcast clouds,30.0502,-98.0336,Sinya on Lone Man Creek
107,Bambous Virieux,MU,73.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
108,Tiznit,MA,78.35,overcast clouds,29.5833,-9.5,
111,Prabumulih,ID,73.71,light rain,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
113,Quelimane,MZ,71.55,clear sky,-17.8786,36.8883,Hotel Flamingo
114,Kashi,CN,76.21,scattered clouds,39.4547,75.9797,帕米尔青年旅舍
115,Kahului,US,83.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
116,Piacabucu,BR,77.47,few clouds,-10.4056,-36.4344,Piaçabuçu News
117,Santa Rosa,PH,84.18,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
119,San Patricio,US,87.89,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
123,Bandarbeyla,SO,79.14,broken clouds,9.4942,50.8122,JABIR HOTEL
125,Sola,VU,77.25,overcast clouds,-13.8833,167.55,Leumerus Bungalows
126,Faanui,PF,80.01,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
135,Salalah,OM,82.49,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
138,Pedro Ii,BR,79.83,broken clouds,-4.4247,-41.4586,Opala Hotel Pedro II
140,Salvador,SV,86.05,overcast clouds,13.8333,-88.9167,Chico's Ranch
141,Tazmalt,DZ,71.87,clear sky,36.3868,4.3989,Hôtel Numédia
142,Panalingaan,PH,80.11,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
150,Huntsville,US,75.31,clear sky,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
153,Pensacola,US,87.39,clear sky,30.4213,-87.2169,Days Inn by Wyndham Pensacola - Historic Downtown
155,Kathu,TH,85.62,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
158,Canutama,BR,86.43,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
160,Constantine,DZ,71.01,broken clouds,36.365,6.6147,Grand Hotel Cirta
163,Mogadishu,SO,78.55,overcast clouds,2.0371,45.3438,Hotel Juba
164,Nurota,UZ,78.89,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
165,Butaritari,KI,82.89,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
166,Kawalu,ID,73.18,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
173,Pemba,MZ,75.9,broken clouds,-12.974,40.5178,Guesthouse Samotina
176,Peachland,CA,76.86,overcast clouds,49.7665,-119.7357,Wine Stopper B&B
179,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
180,Port Said,EG,76.98,clear sky,31.2565,32.2841,Aracan Hotel
181,Razole,IN,85.12,clear sky,16.4833,81.8333,Sterling Palavelli Godavari
185,Boueni,YT,78.78,clear sky,-12.9025,45.0761,The feet in water
187,Jizan,SA,90.54,clear sky,17.3333,42.6667,شهدان. ابوالحجر
190,Abha,SA,71.42,clear sky,18.2164,42.5053,Abha Hotel
191,Kupang,ID,74.95,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
194,Matara,LK,79.59,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
195,Sikonge,TZ,72.14,overcast clouds,-5.6333,32.7667,Pretoria 2 Lodge
198,Kormilovka,RU,71.35,clear sky,55.0026,74.1028,"Zhemchuzhina, Baza Otdykha"
200,Khash,IR,81.05,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
205,Manggar,ID,80.51,scattered clouds,-2.8833,108.2667,Guest Hotel
208,Chalus,IR,74.66,broken clouds,36.655,51.4204,نظام مهندسي ساختمان چالوس
211,Bolivar,US,71.11,overcast clouds,37.6145,-93.4105,Comfort Inn Bolivar
213,Tsaratanana,MG,70.14,clear sky,-16.7833,47.65,
217,Coahuayana,MX,92.95,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
222,Astoria,US,76.62,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
223,Upata,VE,87.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
229,San Onofre,CO,85.93,broken clouds,9.7359,-75.5263,Hotel Sinai
231,Zamora,EC,85.24,light rain,-4.0692,-78.9567,Cabañas Ecológicas Copalinga
232,Bengkulu,ID,75.15,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
234,Natal,BR,84.85,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
239,Tefe,BR,87.91,scattered clouds,-3.3542,-64.7114,Aracati Hotel
243,Namibe,AO,70.95,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
244,Port Blair,IN,81.48,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
245,Yarada,IN,86.32,few clouds,17.65,83.2667,Jeevan
251,Adrar,MR,89.78,overcast clouds,20.5022,-10.0711,
252,Rantauprapat,ID,73.04,overcast clouds,2.1,99.8333,Permata Land Hotel & Resort
253,Lasem,ID,77.34,broken clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
256,Dakar,SN,76.08,clear sky,14.6937,-17.4441,Redface Studios Meublés
259,Sao Mateus,BR,77.36,scattered clouds,-18.7161,-39.8589,Hotel Rio Norte
260,Gat,IL,78.4,few clouds,31.61,34.7642,OlusHome
262,Damara,CF,89.02,broken clouds,4.9608,18.7035,
263,Mangan,IN,72.77,overcast clouds,27.5167,88.5333,Hotel Mout View
264,Nicoya,CR,92.75,broken clouds,10.1483,-85.452,Guayacan Real
268,Pontian Kecil,MY,84.27,scattered clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
272,Conceicao Da Barra,BR,77.47,scattered clouds,-18.5933,-39.7322,Cricaré Praia Hotel
273,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
275,Ciudad Guayana,VE,90.52,broken clouds,8.3533,-62.6528,Hotel Las Americas
277,Ciudad Bolivar,VE,90.99,overcast clouds,8.1222,-63.5497,Hotel Edi
279,Monrovia,LR,74.97,light rain,6.3005,-10.7969,Sunset Inn
280,Bangui,CF,89.78,scattered clouds,4.3612,18.555,SAM HOTEL
284,Harper,LR,79.11,light rain,4.375,-7.7169,Screensaver
285,Sungairaya,ID,79.47,scattered clouds,0.7,108.9,Mess P.Milu
286,Praia,CV,77.54,clear sky,14.9215,-23.5087,LT Aparthotel
287,Sanming,CN,71.55,overcast clouds,26.2486,117.6186,Sanming Huangting Lijing Hotel
289,Buta,CD,73.18,broken clouds,2.7858,24.73,HOTEL BISO NA BISO
290,Marzuq,YE,79.27,clear sky,14.4,46.4667,
293,Wanning,CN,81.45,overcast clouds,18.8003,110.3967,Paradise Hotel
295,Selcuk,TR,71.42,overcast clouds,37.9514,27.3685,Archeologica House Ephesus
298,Pocatello,US,75.47,few clouds,42.8713,-112.4455,Clarion Inn Pocatello
299,Half Moon Bay,US,90.57,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
300,Meulaboh,ID,76.41,overcast clouds,4.1363,96.1285,Kost Pria
303,Pimenta Bueno,BR,87.37,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
310,Vanimo,PG,76.93,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
314,Jhawarian,PK,89.58,clear sky,32.3614,72.6228,Asif Sweet Villas homes
316,Dahanu,IN,84.16,overcast clouds,19.9667,72.7333,Pearline Beach Villas
317,Pacific Grove,US,81.81,clear sky,36.6177,-121.9166,Lovers Point Inn
318,Colares,PT,74.88,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
320,Katobu,ID,73.85,broken clouds,-4.9408,122.5276,La Ode Husein
321,Canto Do Buriti,BR,92.28,broken clouds,-8.11,-42.9444,Novo Hotel
323,Sadsalan,PH,73.8,heavy intensity rain,6.8231,124.6222,Ethan's Function Hall and Resto Grill
325,Laguna,US,94.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
326,Namuac,PH,79.84,broken clouds,18.6109,121.1657,Mlin Hotel
328,Isla Vista,US,89.11,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
329,La Tijera,MX,85.37,overcast clouds,19.9,-104.4,
330,Houma,US,82.99,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
333,Tremedal,BR,83.25,scattered clouds,-14.9758,-41.4108,Pousada Estillos
334,Kuryk,KZ,74.84,clear sky,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
337,Lalmohan,BD,83.05,broken clouds,22.3384,90.7419,Sundorbon courier service
339,Ormara,PK,83.88,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
341,Aripuana,BR,90.86,broken clouds,-9.1667,-60.6333,
342,Valparaiso,CL,75.43,clear sky,-33.0393,-71.6273,Hotel Ultramar
343,Nesbyen,NO,71.74,broken clouds,60.5681,9.1027,Nesbyen Event
348,Alofi,NU,78.69,moderate rain,-19.0595,-169.9187,Taloa Heights
350,Bauchi,NG,86.65,scattered clouds,10.5,10.0,
351,Pochutla,MX,91.81,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
352,Paracuru,BR,86.02,clear sky,-3.41,-39.0306,Hotel Vento Brasil
353,Kapit,MY,73.11,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
358,Mecca,SA,91.4,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
359,Najran,SA,88.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
362,Pokhara,NP,70.61,scattered clouds,28.2333,83.9833,Butterfly Lodge
363,Cortes,ES,75.6,scattered clouds,41.9395,-1.4396,Rincon de bu
365,New Iberia,US,82.96,clear sky,30.0035,-91.8187,La Quinta Inn & Suites by Wyndham New Iberia
367,Kikwit,CD,76.82,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
369,Martin,US,87.98,overcast clouds,27.0837,-80.4164,
373,Caxito,AO,77.65,broken clouds,-8.5785,13.6643,
374,Labuhan,ID,78.1,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
375,Grand Gaube,MU,73.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
384,Caravelas,BR,77.14,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
386,Kirakira,SB,77.29,overcast clouds,-10.4544,161.9205,SanBiz Lodge
392,Owensboro,US,71.19,clear sky,37.7742,-87.1133,Courtyard by Marriott Owensboro
394,Amapa,BR,79.5,light rain,1.0,-52.0,
395,Orodara,BF,84.58,light rain,10.9492,-4.9342,Bkf Orodara
396,La Union,PE,83.05,clear sky,-5.4,-80.75,Los Portales
398,Piracuruca,BR,83.21,overcast clouds,-3.9281,-41.7092,Pousada Piracuruca
401,Iracoubo,GF,80.22,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
402,Nouadhibou,MR,73.38,few clouds,20.931,-17.0347,El Medina
403,Picos,BR,93.61,overcast clouds,-7.0769,-41.4669,Entre Rios Hotel
405,Padang,ID,75.22,overcast clouds,-0.9492,100.3543,Mercure Padang
406,Bontang,ID,78.15,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
409,Honiara,SB,76.84,overcast clouds,-9.4333,159.95,Heritage Park Hotel
414,Coria,ES,82.45,broken clouds,39.9879,-6.5377,Hotel San Cristóbal
415,Mahibadhoo,MV,83.57,overcast clouds,3.7833,72.9667,Omadhoo Inn
420,Abakaliki,NG,87.15,scattered clouds,6.3163,8.1169,K Suites
421,Ishigaki,JP,80.46,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
422,Tautira,PF,80.62,overcast clouds,-17.7333,-149.15,Pension Oaoa
423,Katsina,NG,91.2,clear sky,12.9894,7.6006,Katsina Motel
425,Galveston,US,85.17,broken clouds,29.3669,-94.9669,Comfort Inn & Suites Texas City
427,Terre Haute,US,71.06,clear sky,39.4667,-87.4139,Drury Inn & Suites Terre Haute
431,Chimore,BO,76.33,overcast clouds,-16.9833,-65.1333,Bichito
432,Panzhihua,CN,70.92,clear sky,26.5851,101.7128,Electric Power Hotel
433,Fare,PF,79.95,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
435,Sinnamary,GF,80.65,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
438,Agadez,NE,92.59,overcast clouds,19.75,10.25,
439,San Juan,AR,71.73,clear sky,-31.5375,-68.5364,Hotel Provincial
446,Singaraja,ID,77.16,scattered clouds,-8.112,115.0882,Puri Bagus Lovina Resort
451,Agadir,MA,72.05,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
452,Portland,US,79.61,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
457,Buala,SB,79.14,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
458,Kokopo,PG,76.68,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
459,Ariquemes,BR,89.64,few clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
461,Isangel,VU,71.24,scattered clouds,-19.55,169.2667,Tanna Lodge
463,Manavalakurichi,IN,82.49,overcast clouds,8.1333,77.3,Udaya Boys Hostel
466,Domoni,KM,76.78,clear sky,-12.2569,44.5319,Al Djadid
469,Lorengau,PG,80.92,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
470,Guarumal,PA,87.93,scattered clouds,8.35,-82.5333,Grama la martina
472,Quatre Cocos,MU,73.09,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
473,Hobyo,SO,79.18,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
474,Jiangyou,CN,70.03,overcast clouds,31.7667,104.7167,Shangping Shuyuan Inn
475,Mumford,GH,81.03,broken clouds,5.2618,-0.759,Spanish Villa
477,Mattru,SL,75.72,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
480,Jaru,BR,86.18,scattered clouds,-10.4389,-62.4664,Hotel Paraná
481,Manacapuru,BR,84.78,overcast clouds,-3.2997,-60.6206,Novo Hotel
485,Sapa,PH,81.34,overcast clouds,5.1544,120.3241,
486,Fallon,US,85.42,few clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
490,Yanam,IN,85.24,clear sky,16.7333,82.2167,The Regency Hotel
491,Dayong,CN,74.88,overcast clouds,25.0209,118.2898,Haiyue Express Hotel
494,Maunabo,PR,87.62,clear sky,18.0072,-65.8993,Maunacaribe
495,Saquarema,BR,78.94,light rain,-22.92,-42.5103,Hotel Fazenda Sol e Lua
496,Axim,GH,80.62,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
498,Marsh Harbour,BS,79.39,broken clouds,26.5412,-77.0636,Abaco Beach Resort
501,Salaga,GH,84.13,light rain,8.5508,-0.5188,Bore Nada Guest House
502,Thai Binh,VN,86.0,overcast clouds,20.45,106.3333,Sweden Hotel
503,Tual,ID,81.45,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
507,Sinjai,ID,74.35,overcast clouds,-5.1241,120.253,Wisma Sandika
508,Gigmoto,PH,80.42,overcast clouds,13.7796,124.39,Cj's Travellers Inn
512,Bugasong,PH,80.13,overcast clouds,11.0439,122.0659,Jam's Family Restaurant and Tourist Inn
513,Bani,DO,85.86,clear sky,18.2833,-70.3333,Hospedaje Henriquez
515,Yaan,NG,82.31,light rain,7.3833,8.5667,
518,Acapulco,MX,89.42,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
519,Oistins,BB,86.09,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
520,Cartagena,CO,83.25,overcast clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
521,Kinkala,CG,82.71,overcast clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
522,Palu,ID,75.74,moderate rain,-0.8917,119.8707,Hotel Santika Palu
523,Pedernales,DO,84.7,broken clouds,18.0384,-71.744,Hotel Costa Marina
524,Quirinopolis,BR,86.02,light rain,-18.4483,-50.4517,Rota Hotéis - Quirinópolis GO
525,Barbate,ES,77.58,overcast clouds,36.1924,-5.9219,Hotel Adiafa
529,Touros,BR,85.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
535,Sao Felix Do Xingu,BR,86.41,broken clouds,-6.6447,-51.995,Rio Xingu Camping
536,Thinadhoo,MV,83.1,few clouds,0.5333,72.9333,
538,Naze,JP,71.37,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
539,Kiunga,PG,73.69,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
540,Sabha,LY,92.34,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
544,Nadadores,MX,85.15,overcast clouds,27.05,-101.6,Hacienda Las Catalinas
546,Daru,PG,77.9,overcast clouds,-9.0763,143.2092,Daru Lodge
547,Road Town,VG,85.19,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
551,Fort-Shevchenko,KZ,71.01,clear sky,44.5086,50.263,Oasis hotel Bautino
552,Acarau,BR,80.49,clear sky,-2.8856,-40.12,castelo pizzaria
554,Ugoofaaru,MV,83.46,overcast clouds,5.6667,73.0,Ungoofaaru Inn
555,Tura,IN,73.83,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
556,Les Cayes,HT,84.78,clear sky,18.2,-73.75,Villa Orphee
560,Guarapari,BR,85.91,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
562,Manta,EC,80.38,broken clouds,-0.95,-80.7333,Balandra Hotel
563,Barra Do Garcas,BR,90.18,few clouds,-15.89,-52.2567,Hotel Pousada Tropical
566,Taybad,IR,84.04,clear sky,34.74,60.7756,لی پوش jean center
571,Baghmara,IN,82.58,clear sky,23.795,86.2085,Shankar tea shop
572,Galesong,ID,71.62,overcast clouds,-5.3166,119.3661,Sapriadi Appy
573,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
574,Del Rio,US,86.43,broken clouds,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
576,Misratah,LY,71.85,clear sky,32.3754,15.0925,فندق الماسة
577,Poum,NC,70.81,broken clouds,-20.2333,164.0167,Gîte kajeon
578,Weligama,LK,79.68,overcast clouds,5.9667,80.4167,Weligama Bay Resort
583,Elk City,US,75.18,overcast clouds,35.412,-99.4043,Hampton Inn & Suites Elk City
585,Aswan,EG,94.01,overcast clouds,24.0934,32.907,Nuba Nile
586,Korla,CN,76.48,clear sky,41.7597,86.1469,Gulisitan Hotel
588,Ingham,US,70.84,clear sky,42.6,-84.3833,Sunset Place
589,Bangassou,CF,72.5,light rain,4.7413,22.8184,
592,Avera,US,81.72,clear sky,33.194,-82.5271,
593,Myitkyina,MM,73.09,broken clouds,25.3833,97.4,Shwe Phyu Hotel
608,Tamiahua,MX,88.27,few clouds,21.2667,-97.45,Mission Of The Sun Hotel
610,Catmon,PH,78.04,overcast clouds,10.7167,124.0,Las Flores Country & Beachside Hotel
617,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
619,Takoradi,GH,80.92,broken clouds,4.8845,-1.7554,Raybow International Hotel
621,Moose Factory,CA,75.2,clear sky,51.2585,-80.6094,Moosonee Lilypad
622,Gogrial,SS,89.85,broken clouds,8.5332,28.1004,
624,Speedway,US,70.74,clear sky,39.8023,-86.2672,Ramada Limited Indianapolis West
625,Kavaratti,IN,82.87,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
626,North Bend,US,78.98,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
627,Shaping,CN,83.89,overcast clouds,22.7545,112.9565,Heshan Phoenix Hotel
628,Kandrian,PG,77.86,moderate rain,-6.2167,149.55,Kandrian Station
632,Nouakchott,MR,71.53,few clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
633,Abu Samrah,SY,72.18,clear sky,35.3029,37.1841,
636,Sokoto,NG,93.63,scattered clouds,13.0609,5.239,Shukura Coral Hotel
637,Kudahuvadhoo,MV,83.84,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
638,Pontes E Lacerda,BR,92.68,few clouds,-15.2261,-59.3353,Hotel Bressan
644,Dandeli,IN,72.57,overcast clouds,15.2667,74.6167,Shree Lodge
646,Sao Paulo De Olivenca,BR,81.03,overcast clouds,-3.3783,-68.8725,
647,Port Townsend,US,70.7,clear sky,48.117,-122.7605,Aladdin Inn
648,Kampong Thum,KH,80.89,few clouds,12.7111,104.8887,Sambor Village Hotel
651,Qena,EG,93.36,overcast clouds,26.1615,32.7183,"Grand hotel ""Quena"""
653,Muret,FR,72.84,scattered clouds,43.3333,1.25,Logis Hôtel l'Arche de Noé
657,Eidfjord,NO,73.6,broken clouds,60.4675,7.0719,Quality Hotel Vøringfoss
659,Padilla,CO,80.26,broken clouds,3.2204,-76.3139,La Granadina
660,Sakakah,SA,89.17,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
661,Cravo Norte,CO,83.46,moderate rain,6.3017,-70.2041,Hotel Potosí Los Mirtos
662,Pozo Colorado,PY,75.24,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
664,Sarakhs,IR,87.94,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
665,Catemaco,MX,87.33,overcast clouds,18.4167,-95.1167,Hotel Playa Cristal
675,Flagstaff,US,80.26,few clouds,35.1981,-111.6513,Drury Inn & Suites Flagstaff
677,Mezcala,MX,89.15,overcast clouds,20.9333,-102.75,Rancho de Rafail Martín
678,Itarema,BR,80.01,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
